Date,Day,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
9/8/2014,Sa,8.1,15.1,,3.2,2,N,59,10:06,10.9,61,,N,39,1027.4,13.5,58,,N,28,1024.1
10/8/2014,Su,9.4,14,,2.2,4.5,SSW,57,14:24,10.1,74,,WSW,17,1024.3,12.1,61,,WSW,19,1024.9
11/8/2014,Mo,5.8,13.6,8.4,3.2,7.2,S,39,12:47,7.9,83,7,WSW,9,1030.6,12.6,39,4,SSE,26,1029.9
12/8/2014,Tu,6.4,13,0.6,1.2,2.4,S,31,17:36,8.1,87,7,SW,9,1033.9,12.1,65,7,S,20,1033.1
13/8/2014,We,8.1,15.7,0,0.6,3.9,S,31,12:09,10.7,69,6,SW,7,1036.3,13.4,64,6,S,19,1034.8
14/8/2014,Th,10,15.1,0.4,1.6,6.1,S,20,15:34,11.7,58,7,S,6,1035.9,14.7,49,2,SW,2,1033.7
15/8/2014,Fr,4,17.5,0,1.6,9.2,NNE,33,12:17,7,78,0,Calm,,1030.5,16.1,49,1,NNE,9,1025.2
16/8/2014,Sa,5.9,13.4,0,2.4,3,SSE,31,13:30,7.6,93,,W,6,1024.1,12.1,74,,S,19,1020.6
17/8/2014,Su,7.5,16.7,0,1,4.1,S,43,13:47,10.7,73,,S,17,1018.2,15.1,58,,S,31,1016.1
18/8/2014,Mo,9.9,13.6,0,2,0,SSE,37,2:40,12,75,7,S,17,1020.9,12.6,76,8,S,20,1020.1
